loss,mape,val_loss,val_mape
0.08494970947504044,5110021.0,0.08216497302055359,1980612.875
0.08491861820220947,5126218.5,0.08212082087993622,2008569.25
0.08494389802217484,5131503.5,0.08211600035429001,2009012.375
0.08490870147943497,5129990.0,0.08216757327318192,1977809.5
0.08488544076681137,5115257.5,0.08218894898891449,1971290.625
0.08487945050001144,5132157.0,0.08219946175813675,1968344.125
0.0848771184682846,5130741.5,0.08215940743684769,1977995.125
0.08491770923137665,5130416.5,0.08209984004497528,2008535.875
0.08490986377000809,5146725.0,0.08214865624904633,1982326.125
0.08491074293851852,5115050.0,0.08216668665409088,1977052.75
