loss,mape,val_loss,val_mape
0.11086548119783401,4180418.75,0.09164248406887054,2591957.25
0.10450386255979538,3959857.5,0.08665172010660172,3278525.0
0.10466694831848145,4480113.5,0.08906351029872894,2700953.5
0.0996234193444252,4165274.0,0.08648288249969482,2863223.0
0.0965537279844284,4141790.5,0.08534824848175049,3077374.75
0.09410225600004196,4210053.0,0.08550574630498886,3139552.0
0.09109975397586823,4175612.0,0.08813948929309845,2749656.25
0.0904279574751854,4134809.25,0.09613604843616486,2446281.0
0.08839627355337143,4137976.25,0.08891279995441437,2708686.25
0.08741407096385956,4070019.0,0.08540991693735123,3016075.5
