loss,mape,val_loss,val_mape
0.08502373844385147,4170873.0,0.08461617678403854,4142967.0
0.08479370921850204,4168413.5,0.08462032675743103,4148491.5
0.08479299396276474,4168409.75,0.08463194966316223,4160005.5
0.08479197323322296,4168135.0,0.08462207764387131,4150494.25
0.08479109406471252,4168076.75,0.08461371064186096,4100776.25
0.08478866517543793,4166692.75,0.08464697748422623,4171257.25
0.08478927612304688,4169275.75,0.08460841327905655,4122189.0
0.08478951454162598,4167553.75,0.08460858464241028,4123584.5
0.08478684723377228,4167687.5,0.08461038023233414,4131650.0
0.08478764444589615,4167660.25,0.08461692929267883,4144107.75
