loss,mape,val_loss,val_mape
0.08482275903224945,4167450.0,0.08461026102304459,4130720.75
0.08480416983366013,4167314.25,0.08460970222949982,4109785.25
0.08479765802621841,4167889.25,0.0846194326877594,4147699.0
0.08479096740484238,4167462.5,0.08472059667110443,4207182.5
0.08479089289903641,4168311.5,0.08460839092731476,4118729.5
0.08478731662034988,4166454.5,0.08461210131645203,4135955.25
0.08478635549545288,4167380.0,0.08461035788059235,4131424.0
0.08478548377752304,4166719.5,0.08461296558380127,4137756.75
0.08478714525699615,4167502.5,0.08461059629917145,4132298.5
0.08478595316410065,4167491.75,0.08462175726890564,4150236.25
