loss,mape,val_loss,val_mape
0.08833886682987213,4158735.75,0.08469725400209427,4042343.75
0.084840327501297,4168194.25,0.08466222882270813,4060125.25
0.08481281250715256,4168497.25,0.08460839092731476,4121972.0
0.08479765802621841,4167875.25,0.08460991829633713,4130459.5
0.08479560166597366,4167313.75,0.08468234539031982,4190713.25
0.0847955048084259,4168479.0,0.08461154252290726,4134730.0
0.0847906693816185,4167781.75,0.08462496101856232,4153748.5
0.0847894623875618,4168427.25,0.08461057394742966,4132354.75
0.08478914946317673,4168002.75,0.0846439003944397,4169295.5
0.08478669077157974,4167842.5,0.08461820334196091,4146048.5
