loss,mape,val_loss,val_mape
0.08482202887535095,4166034.5,0.08438201248645782,4164557.5
0.08480077236890793,4164816.0,0.08438690751791,4151235.0
0.08479791134595871,4163715.0,0.0843854770064354,4153487.0
0.08479750901460648,4164593.0,0.08439023792743683,4146434.25
0.08479882031679153,4164923.0,0.08439260721206665,4142505.5
0.08479735255241394,4163781.0,0.08438698947429657,4150531.25
0.08479824662208557,4165739.25,0.08439557999372482,4138808.5
0.08479708433151245,4164521.5,0.08439657092094421,4137889.75
0.08479780703783035,4165967.25,0.08438463509082794,4155074.5
0.08479912579059601,4165753.25,0.08438237011432648,4162477.75
