SCATS Number,Site Description,Site Type,Latitude,Longitude,Neighbours
6823,Taunton Rd/Third Concession Rd/Rosebank Rd/Altona Rd,INT,43.8696675,-79.14037221,7188;4175;4013;2517;4175;1431;4175;1431;4013;4175
7188,Sideline 26/Whitevale Rd/Taunton Rd/Whitevale Rd ,INT,43.89197415,-79.1363367,2517;5275;5715;2222;2517;5275;5715;2222;2517;4238;5715;4238
7246,Fairport Rd/Whites Rd N/Dixie Rd ,INT,43.84130092,-79.1147613,4521;9055;5412;1762;4073;9055;5412;1762;4521;9053;1762
7449,Brock Rd/5th Concession Rd/Church St N/Taunton Rd/Talisman Manor,INT,43.88721809,-79.09102054,5919;2185;2407;7997;1521;2185;4286
7453,Kingston Rd W/Church St N /Brock Rd ,INT,43.85338894,-79.06083191,2688;5384;7997;9135
7557,Westney Rd N/Ravenscroft Rd/Delaney Dr/Rossland Rd W ,INT,43.86679987,-79.03911927,5384;6208;3021;1049;6208;1049;1413;1245
7932,Kingston Rd/Whites Rd N/Fairport Rd ,INT,43.81906427,-79.11547551,9648;4073;6766;9384;4073;6766;6766
7952,Durham Regional Rd 31/Ravenscroft Rd/Kingston Rd W ,INT,43.85781523,-79.04190756,4008;2688;3021;1049;8818;1049
7997,5th Concession Rd/Whitevale Rd/Talisman Manor /Brock Rd ,INT,43.90236144,-79.09706614,2407;7449;4286;5275;4286;5275;9135
8219,5th Concession Rd/Greenwood Rd/Westney Rd N/Church St N ,INT,43.91141144,-79.05791726,5384;2407;5384;5384
8540,Rougemount Dr/Brookridge Gate/Valley Gate/Kingston Rd ,INT,43.81070465,-79.12971612,3918;4731;9648;3918;9648
8818,Riverside Dr/Rossland Rd W/Elizabeth St/Delaney Dr/Church St N/Kingston Rd W ,INT,43.86132152,-79.06946558,1413;3021;1843;2688;1843;1413;1843;7952;5919
9053,Durham Regional Rd 29/Kingston Rd/Dixie Rd ,INT,43.83587194,-79.09038476,4521;4521;7246;4521
9055,Finch Ave/Dixie Rd/Fairport Rd/Third Concession Rd/Whites Rd N/Third Concession Rd ,INT,43.84345515,-79.1047382,4073;9135;5412;1762;4073;2188;4521;5412;7246;2188;1762;4073;1413;2188;7246;9098
9098,Rosebank Rd/Finch Ave/Whites Rd N/Rosebank Rd /Altona Rd/Third Concession Rd ,INT,43.83729457,-79.13427113,4013;9384;1762;4013;3629;1762;2911;2473;9384;1762;3629;4013;2473;9055;2473
9135,Finch Ave/3rd Concession Rd/Brock Rd ,INT,43.85018448,-79.07541514,9055;1521;7997;7453
9384,Rosebank Rd/Barry Dr/Sheppard Ave/Whites Rd N/Littleford St/Twyn Rivers Dr/Altona Rd ,INT,43.82008425,-79.12703261,9098;9630;1302;9630;1302;4073;9630;9098;6766;6193;4008;9630;2911
9630,Sheppard Ave/Rosebank Rd/Barry Dr/Twyn Rivers Dr/Altona Rd/Littleford St ,INT,43.81942925,-79.13004982,3629;9384;9098;9384;9384;3629;9384;9098;3201;4731;3201
9648,Brookridge Gate/Valley Gate/Kingston Rd/Rougemount Dr ,INT,43.8111465,-79.13192948,8540;4731;3918;8540;4731;3918;7932;4731
